央视频道,#genre#
IPTV少儿动画,http://www.siyao.xin:4000/rtp/225.1.2.172:11050
IPTV法治,http://lysj.aylzline.top:8899/rtp/225.1.2.171:11044
IPTV法治,http://www.siyao.xin:4000/rtp/225.1.2.171:11044
IPTV热播剧场,http://lysj.aylzline.top:8899/rtp/225.1.2.173:11056
IPTV热播剧场,http://www.siyao.xin:4000/rtp/225.1.2.173:11056
IPTV相声小品,http://lysj.aylzline.top:8899/rtp/225.1.2.169:11032
IPTV相声小品,http://www.siyao.xin:4000/rtp/225.1.2.169:11032
IPTV谍战剧场,http://lysj.aylzline.top:8899/rtp/225.1.2.168:11026
IPTV谍战剧场,http://www.siyao.xin:4000/rtp/225.1.2.168:11026
IPTV野外,http://lysj.aylzline.top:8899/rtp/225.1.2.170:11038
IPTV野外,http://www.siyao.xin:4000/rtp/225.1.2.170:11038
优购物,http://lysj.aylzline.top:8899/rtp/225.1.2.243:11920
优购物,http://www.siyao.xin:4000/rtp/225.1.2.243:11920
军事,http://lysj.aylzline.top:8899/rtp/225.1.2.164:11002
军事,http://www.siyao.xin:4000/rtp/225.1.2.164:11002
商丘公共频道2,http://lysj.aylzline.top:8899/rtp/225.1.2.115:10708
商丘公共频道2,http://www.siyao.xin:4000/rtp/225.1.2.115:10708
商丘文体科教,http://lysj.aylzline.top:8899/rtp/225.1.2.157:10960
商丘文体科教,http://www.siyao.xin:4000/rtp/225.1.2.157:10960
商丘新闻综合1,http://lysj.aylzline.top:8899/rtp/225.1.2.114:10702
商丘新闻综合1,http://www.siyao.xin:4000/rtp/225.1.2.114:10702
好享购,http://lysj.aylzline.top:8899/rtp/225.1.2.231:11500
好享购,http://www.siyao.xin:4000/rtp/225.1.2.231:11500
好学生,http://lysj.aylzline.top:8899/rtp/225.1.2.160:10978
好学生,http://www.siyao.xin:4000/rtp/225.1.2.160:10978
家有购物,http://lysj.aylzline.top:8899/rtp/225.1.2.229:11488
家有购物,http://www.siyao.xin:4000/rtp/225.1.2.229:11488
导视,http://lysj.aylzline.top:8899/rtp/225.1.2.241:11908
导视,http://www.siyao.xin:4000/rtp/225.1.2.241:11908
快乐购,http://lysj.aylzline.top:8899/rtp/225.1.2.234:11512
快乐购,http://www.siyao.xin:4000/rtp/225.1.2.234:11512
收视指南,http://lysj.aylzline.top:8899/rtp/225.1.2.55:10324
收视指南,http://www.siyao.xin:4000/rtp/225.1.2.55:10324
新动漫,http://lysj.aylzline.top:8899/rtp/225.1.2.211:11404
新动漫,http://www.siyao.xin:4000/rtp/225.1.2.211:11404
早教,http://lysj.aylzline.top:8899/rtp/225.1.2.162:10990
早教,http://www.siyao.xin:4000/rtp/225.1.2.162:10990
爱上4K,http://lysj.aylzline.top:8899/rtp/225.1.2.196:11194
爱上4K,http://www.siyao.xin:4000/rtp/225.1.2.196:11194
爱生活,http://lysj.aylzline.top:8899/rtp/225.1.2.159:10972
爱生活,http://www.siyao.xin:4000/rtp/225.1.2.159:10972
环球购物,http://lysj.aylzline.top:8899/rtp/225.1.2.230:11494
环球购物,http://www.siyao.xin:4000/rtp/225.1.2.230:11494
精选频道,http://lysj.aylzline.top:8899/rtp/225.1.2.236:11524
精选频道,http://www.siyao.xin:4000/rtp/225.1.2.236:11524
美妆,http://lysj.aylzline.top:8899/rtp/225.1.2.165:11008
美妆,http://www.siyao.xin:4000/rtp/225.1.2.165:11008
足球频道,http://lysj.aylzline.top:8899/rtp/225.1.2.198:11392
足球频道,http://www.siyao.xin:4000/rtp/225.1.2.198:11392
风尚购物,http://lysj.aylzline.top:8899/rtp/225.1.2.235:11518
风尚购物,http://www.siyao.xin:4000/rtp/225.1.2.235:11518
魅力时尚,http://lysj.aylzline.top:8899/rtp/225.1.2.145:10888
魅力时尚,http://www.siyao.xin:4000/rtp/225.1.2.145:10888
更新时间,#genre#
2026-02-19 18:18:04,https://taoiptv.com/time.mp4



